tourist_destination,review_post
Burnham Park,"An excellent place for family and friends to visit. It has no entrance fees, and has a lake where you can ride a boat (P 150) and park grounds where you can ride small bikes (P 100). Not a place I would recommend at night as it gets quite dark here at some spots. But the morning is a superb experience you will definitely want to come back to."
Burnham Park,"A lovely place to be on a nice day.We were pleasantly surprised and very pleased at how long a period of time that we had aboard our boat on the lake.You may hire bicycles(some carrying as many as three people)on the cycle track for a modest fee,and once again the period of time allowed is most generous indeed ~ so it is good value for money.Spend time here is amazing. I love the place."
Burnham Park,"Definitely one of the best places to visit in Baguio. 💖 Burnham Park is a crowded tourist destination, but for good reason. The assortment of flowers that you will see in the park is truly breathtaking.Aside from sightseeing, you can also do boating, have your picture taken by a photographers' cooperative in tribal clothes, rent cars or bikes, and play at the amusement park."
Burnham Park,I have always been looking at this park ever since 2018. I only had the chance to review the park because I flexed the view of this park to my Japanese friend so that he can go here someday. Still crowded as ever. There's a lot of tourist as always. It is still fun to see everyone having fun here.
Burnham Park,Very beautiful park with boating and cycling available inside the park. Good place to relax and have clean air. Whenever I visit Philippines I make sure to visit Burnham park each time.
Burnham Park,A lot cleaner and crowd is more manageable more than ever. Police presence is constant so you feel more safe. More public CR are around and increased number of evenly spread out trash bins. Just make sure you do your part and clean as you go.
Burnham Park,Bring something to protect you from the heat of the sun when going up in this place. family vehicles are not  allowed to go up to this point because the area where you will see a good view of the tower and the west Philippines sea is not wide enough  for vehicles. tricycle fare per trip is 50 pesos as of 2022 with a maximum of 3persons per trip.
Burnham Park,"I/we enjoyed Burnham Park. We visited when it was busy and mellow, day and night. Felt safe. Numerous low level things to do for all ages. Fun to see nostalgic things to do (bumper cars, bike/pedal rentals) all sorts of food vendors, even massage people (but not sure where that happens).We had a picnic and someone offered (and we bought) blue tarp to sit on.Recommend and would return but wouldn’t call it a must see.Parking is hard to come by so walk or get dropped off is key."
Burnham Park,"Burnham Park is considered to be one of the most famous parks in the country. It is located on Jose Abad Santos Drive, Baguio City 2600 Benguet Philippines. A park is a popular place for both locals and tourists. This place is often full-packed with people regardless if it is rainy or not. The most well-known activity in the park is “biking”. There are lots of bicycles for rent at a very decent price. It is an excellent activity for youngsters and adults."
Burnham Park,"The place was also nice to see in the morning especially trying activities a family can enjoy like biking, riding a boat and having picnics. There are food area and lots of rest rooms. Parking is just hard during peak season. (Forgot to take pics since we just visit first in the evening for the night market 😊). The night market is beside the park."
Mines View Observation Deck,"I went on a weekend and it was overcrowded!!! Barely any space to move! Overcrowded just to see the views. You can buy souvenirs and food there. I got the 🌽 and it was yummy. The bathroom was clean though when I went. The ticket fee isn't pricey at all, but no parking unless you go early."
Mines View Observation Deck,"Great place to visit. Don't forget it to your itinerary. However, sometimes it's too crowded that it's hard to get decent photos of yours because there are a lot of people especially during weekends. Luckily I was able to get these photos. Love the scenery."
Mines View Observation Deck,"Come to Mines View Observation Deck to breathe and relax away from work!My friends and I went here very early to watch the sunrise. I managed to get few snaps of the place as it was jam packed with tourists from other parts of the Philippines. On a hindsight, it is always like this whenever I come to Baguio. This place never run out of tourists. And one do understand why... Had I happen to live near here, I'd also frequent this site.We no longer took pictures with the horses nor with igorot costumes on and whatever there are. We just wandered the Mines View Park to appreciate what's in there and buy food and clothing to bring home as souvenir to our love ones.We had our breakfast just outside the Park where a canteen offers inexpensive but satisfying food nonetheless while waiting for the Good Shepherd Convent to open because we'd buy their products like the famous ube jam.In the years to come and given the chance to come again to Baguio, I would still come to Mines View Park and do what I did.Visit the Park if you can! It's worth your time and energy."
Mines View Observation Deck,As usual. You’ve got a nice view here if the weather permits you because sometimes the fog eats the view. Never the less it’s so relaxing and there are stalls where you can buy your pasalubongs as well. You just have to pay a small amount for you to enter the place but it’s worth it.
Mines View Observation Deck,"Gives a nice view of the mountains. Can get too crowded though, since tourists are not limited even in this time of the pandemic. Nice place to buy plants or get a quick bite too."
Mines View Observation Deck,"Mines View Observation Deck is indeed a breathtaking view. Despite the sun shining bright, it was only warm and not very hot.☺️☺️👏The parking area here is limited but the locals guide you to places where one can park. We parked right infront of a gated place to which they reassured us that it will be fine. It was not a paid parking but we provided tip.😊There are also a lot of places to buy pasalubong around here. You may check out as you walk to outside.👏👏............."
Mines View Observation Deck,There are many other good places you can visit on the ways most stunning views will see on road side if you are going by your own vehicle. This just a small place where from you can see one mountain that's all I didn't find anything interesting there. If you are going to botenical garden then Mines View is 3km from there
Mines View Observation Deck,"Great view of the mountain range. Unfortunately some are covered by houses, unlike before when Baguio was not that crowded. Lots of souvenirs to buy. They even sell a variety of plants in the area."
Mines View Observation Deck,Who would want to miss the Mines View Deck in Baguio City? I think most tourists visiting Baguio would not miss out this spot on their itinerary. You also get to taste the local delicacies & Filipino street foods here.
Mines View Observation Deck,The view was stunning. People liked lining up for picture taking dressed like the one on my image and they are enjoying how beautiful the nature is. The warm sun didn’t bother us because we feel the warmth as a relief from the city life we had.Baguio has a place in our heart and we will be back again.
Baguio City Market,Philippine bazaar market at its best. I mean when you want a merchandise you have 50 little merchants who want your business. This place is old but its character is pleasing. Every ones very nice. Haggling is encouraged.
